index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
11,MODERATE,2022-01-31 23:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.0,0.0,15.95,443.93,19.55,1.27,105.99,22.59,0.35,77.45,0.0,60.21,0.91,73.858437,18.498368,Swargate ST Stand_13
52,MODERATE,2022-01-31 23:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,0.04,16.5,441.4,20.59,1.22,101.47,22.36,0.35,77.2,0.0,60.29,0.91,73.858437,18.498368,Swargate ST Stand_13
84,MODERATE,2022-02-01 00:01:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,1.52,16.06,440.18,20.82,1.16,97.38,22.0,0.35,77.13,0.0,61.09,0.91,73.858437,18.498368,Swargate ST Stand_13
126,MODERATE,2022-02-01 00:16:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,3.3,13.54,439.65,17.63,1.09,92.86,21.65,0.35,76.43,0.0,62.59,0.91,73.858437,18.498368,Swargate ST Stand_13
160,MODERATE,2022-02-01 00:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,4.95,14.14,438.72,17.42,1.01,90.76,21.3,0.35,76.15,0.0,63.73,0.91,73.858437,18.498368,Swargate ST Stand_13
208,MODERATE,2022-02-01 00:46:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,7.2,14.01,434.72,16.94,0.86,88.38,20.96,0.36,76.02,0.0,64.67,0.91,73.858437,18.498368,Swargate ST Stand_13
251,MODERATE,2022-02-01 01:01:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,7.83,10.37,427.47,14.69,0.69,87.74,20.74,0.36,76.27,0.0,65.35,0.91,73.858437,18.498368,Swargate ST Stand_13
286,MODERATE,2022-02-01 01:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,7.14,9.71,425.08,13.28,0.63,88.53,20.63,0.36,76.25,0.0,65.47,0.91,73.858437,18.498368,Swargate ST Stand_13
340,MODERATE,2022-02-01 01:31:38+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,8.69,11.02,425.43,12.46,0.61,87.0,20.52,0.36,75.83,0.0,65.81,0.92,73.858437,18.498368,Swargate ST Stand_13
378,MODERATE,2022-02-01 01:46:40+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,9.91,12.86,425.62,15.23,0.57,85.79,20.35,0.36,75.78,0.0,66.56,0.92,73.858437,18.498368,Swargate ST Stand_13
416,MODERATE,2022-02-01 02:01:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,8.37,14.05,424.89,18.02,0.57,87.33,20.18,0.36,75.49,0.0,67.77,0.92,73.858437,18.498368,Swargate ST Stand_13
454,MODERATE,2022-02-01 02:16:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,9.36,12.33,419.46,16.48,0.54,86.34,20.09,0.35,75.17,0.0,68.36,0.92,73.858437,18.498368,Swargate ST Stand_13
470,MODERATE,2022-02-01 02:31:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,9.11,10.54,414.36,13.64,0.52,86.58,19.97,0.35,75.17,0.0,68.55,0.92,73.858437,18.498368,Swargate ST Stand_13
506,MODERATE,2022-02-01 02:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,9.9,9.6,411.27,13.25,0.5,85.79,19.73,0.34,75.86,0.0,69.42,0.92,73.858437,18.498368,Swargate ST Stand_13
543,MODERATE,2022-02-01 03:01:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,12.63,11.07,408.95,15.42,0.46,83.06,19.46,0.34,76.15,0.0,70.46,0.92,73.858437,18.498368,Swargate ST Stand_13
580,MODERATE,2022-02-01 03:16:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,13.82,10.79,404.8,13.19,0.45,81.88,19.22,0.34,75.92,0.0,71.57,0.92,73.858437,18.498368,Swargate ST Stand_13
616,MODERATE,2022-02-01 03:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,16.49,8.7,395.91,9.84,0.41,79.21,19.06,0.34,75.75,0.0,72.25,0.92,73.858437,18.498368,Swargate ST Stand_13
677,MODERATE,2022-02-01 03:46:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,16.69,8.98,387.86,10.96,0.4,79.0,18.93,0.34,75.6,0.0,72.63,0.92,73.858437,18.498368,Swargate ST Stand_13
715,MODERATE,2022-02-01 04:01:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,16.7,9.73,384.93,11.8,0.41,79.02,18.76,0.34,75.94,0.0,72.88,0.92,73.858437,18.498368,Swargate ST Stand_13
753,MODERATE,2022-02-01 04:16:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,17.63,9.55,383.9,11.27,0.4,78.11,18.54,0.34,76.23,0.0,73.15,0.92,73.858437,18.498368,Swargate ST Stand_13
791,MODERATE,2022-02-01 04:31:37+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,18.25,9.45,382.02,11.04,0.42,77.5,18.35,0.34,76.47,0.0,73.37,0.92,73.858437,18.498368,Swargate ST Stand_13
796,MODERATE,2022-02-01 04:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,19.06,10.85,378.85,12.56,0.43,76.68,18.19,0.34,77.02,0.0,73.63,0.92,73.858437,18.498368,Swargate ST Stand_13
834,MODERATE,2022-02-01 05:01:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,15.96,10.44,374.8,12.44,0.47,79.78,18.04,0.34,77.22,0.0,74.36,0.92,73.858437,18.498368,Swargate ST Stand_13
867,MODERATE,2022-02-01 05:16:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,14.37,8.87,372.09,12.05,0.55,81.37,17.93,0.33,77.14,0.0,75.13,0.92,73.858437,18.498368,Swargate ST Stand_13
898,MODERATE,2022-02-01 05:31:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,15.19,9.28,372.25,12.76,0.6,80.56,17.84,0.33,77.44,0.0,75.12,0.92,73.858437,18.498368,Swargate ST Stand_13
935,MODERATE,2022-02-01 05:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,14.44,10.28,373.26,11.83,0.69,81.38,17.78,0.33,77.87,0.0,74.78,0.92,73.858437,18.498368,Swargate ST Stand_13
970,MODERATE,2022-02-01 06:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,12.91,10.87,374.36,12.11,0.74,83.09,17.74,0.32,78.07,0.0,74.65,0.92,73.858437,18.498368,Swargate ST Stand_13
1002,MODERATE,2022-02-01 06:16:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,11.01,11.69,378.26,13.62,0.81,85.03,17.65,0.32,78.23,0.0,74.85,0.92,73.858437,18.498368,Swargate ST Stand_13
1038,MODERATE,2022-02-01 06:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,11.37,12.85,380.27,14.35,0.94,84.61,17.52,0.38,78.35,0.0,75.3,0.92,73.858437,18.498368,Swargate ST Stand_13
1071,MODERATE,2022-02-01 06:46:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,11.45,12.64,380.99,15.57,1.04,84.53,17.44,2.7,78.36,0.0,75.82,0.92,73.858437,18.498368,Swargate ST Stand_13
1106,MODERATE,2022-02-01 07:01:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,10.71,14.46,384.32,18.37,1.3,85.27,17.35,27.74,79.0,0.03,76.43,0.92,73.858437,18.498368,Swargate ST Stand_13
1140,MODERATE,2022-02-01 07:16:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,11.02,18.35,386.55,21.77,1.51,84.96,17.25,116.62,79.16,0.03,77.0,0.92,73.858437,18.498368,Swargate ST Stand_13
1172,MODERATE,2022-02-01 07:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.0,12.36,17.28,383.97,22.28,1.84,83.62,17.22,281.14,79.28,3.24,77.24,0.92,73.858437,18.498368,Swargate ST Stand_13
1232,MODERATE,2022-02-01 07:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.01,10.73,16.46,387.72,22.1,2.14,85.25,17.23,485.86,79.8,3.44,77.31,0.92,73.858437,18.498368,Swargate ST Stand_13
1265,MODERATE,2022-02-01 08:01:34+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.01,6.03,21.07,403.03,26.93,2.09,89.95,17.41,705.56,79.57,0.22,76.84,0.92,73.858437,18.498368,Swargate ST Stand_13
1297,MODERATE,2022-02-01 08:16:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.02,3.34,23.31,411.78,29.77,1.93,92.57,17.79,963.33,79.44,0.02,75.78,0.92,73.858437,18.498368,Swargate ST Stand_13
1329,MODERATE,2022-02-01 08:31:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.03,1.79,23.93,422.2,30.45,1.87,95.34,18.24,1430.35,79.57,0.0,74.43,0.92,73.858437,18.498368,Swargate ST Stand_13
1365,MODERATE,2022-02-01 08:46:34+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.05,0.44,26.37,437.3,33.64,1.99,98.85,18.83,9158.67,79.73,0.0,72.57,0.92,73.858437,18.498368,Swargate ST Stand_13
1401,MODERATE,2022-02-01 09:01:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.06,0.0,27.34,438.63,34.75,1.94,100.41,19.6,17045.51,79.85,0.0,70.18,0.92,73.858437,18.498368,Swargate ST Stand_13
1438,MODERATE,2022-02-01 09:16:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.08,0.0,26.08,438.49,33.23,1.92,101.87,20.43,12506.28,80.11,0.0,67.52,0.91,73.858437,18.498368,Swargate ST Stand_13
1473,MODERATE,2022-02-01 09:31:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.1,0.0,27.1,439.76,34.65,1.9,106.74,21.15,8035.28,80.64,0.0,65.28,0.91,73.858437,18.498368,Swargate ST Stand_13
1508,MODERATE,2022-02-01 09:46:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.12,0.0,32.8,439.24,41.62,1.66,111.28,21.86,10866.19,80.89,0.0,63.07,0.91,73.858437,18.498368,Swargate ST Stand_13
1543,MODERATE,2022-02-01 10:01:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.15,2.96,34.58,439.1,43.54,1.35,103.22,22.71,10043.22,80.84,0.0,59.72,0.91,73.858437,18.498368,Swargate ST Stand_13
1578,MODERATE,2022-02-01 10:16:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.16,11.54,33.48,431.15,42.39,1.06,86.82,23.64,8548.77,81.1,0.0,54.53,0.91,73.858437,18.498368,Swargate ST Stand_13
1589,MODERATE,2022-02-01 10:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.16,17.17,34.53,422.76,43.47,0.91,79.39,24.54,6427.3,81.4,0.0,49.41,0.91,73.858437,18.498368,Swargate ST Stand_13
1623,MODERATE,2022-02-01 10:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.18,20.15,32.82,419.8,40.74,0.86,76.11,25.24,2178.05,81.53,0.0,44.97,0.91,73.858437,18.498368,Swargate ST Stand_13
1659,MODERATE,2022-02-01 11:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.19,24.86,29.61,416.46,37.2,0.8,71.68,25.78,1641.46,81.6,0.0,41.07,0.91,73.858437,18.498368,Swargate ST Stand_13
1699,MODERATE,2022-02-01 11:16:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.2,25.36,24.8,415.37,31.25,0.77,71.47,26.28,1577.19,81.56,0.0,38.77,0.91,73.858437,18.498368,Swargate ST Stand_13
1743,MODERATE,2022-02-01 11:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.21,31.24,18.91,415.73,24.16,0.66,65.29,26.78,1500.91,81.65,0.0,36.42,0.91,73.858437,18.498368,Swargate ST Stand_13
1772,MODERATE,2022-02-01 11:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.22,41.61,16.51,415.04,20.99,0.52,54.84,27.32,2114.5,81.56,0.0,32.87,0.91,73.858437,18.498368,Swargate ST Stand_13
1814,MODERATE,2022-02-01 12:01:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.23,45.21,17.49,412.9,21.58,0.48,51.28,27.89,2568.05,81.53,0.0,30.45,0.91,73.858437,18.498368,Swargate ST Stand_13
1856,MODERATE,2022-02-01 12:16:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.24,43.46,16.5,410.12,20.51,0.49,53.1,28.41,1993.87,81.8,0.0,29.78,0.91,73.858437,18.498368,Swargate ST Stand_13
1886,MODERATE,2022-02-01 12:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.24,32.84,13.44,414.22,16.77,0.68,63.68,28.84,1628.98,81.96,0.0,29.45,0.91,73.858437,18.498368,Swargate ST Stand_13
1943,MODERATE,2022-02-01 12:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.24,23.05,13.84,418.81,16.81,0.94,73.49,29.29,1566.13,81.74,0.0,28.92,0.91,73.858437,18.498368,Swargate ST Stand_13
1983,MODERATE,2022-02-01 13:01:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.25,23.44,14.04,416.2,16.74,0.94,73.14,29.81,1462.23,81.6,0.0,28.27,0.91,73.858437,18.498368,Swargate ST Stand_13
2025,MODERATE,2022-02-01 13:16:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.25,31.66,13.9,410.39,18.28,0.71,64.97,30.37,1440.44,81.5,0.0,27.67,0.91,73.858437,18.498368,Swargate ST Stand_13
2069,MODERATE,2022-02-01 13:31:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.25,30.7,15.01,409.98,19.26,0.76,65.95,30.89,1459.74,80.99,0.0,27.33,0.91,73.858437,18.498368,Swargate ST Stand_13
2117,MODERATE,2022-02-01 13:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.25,30.38,14.35,411.92,17.05,0.84,66.29,31.33,1501.75,81.06,0.0,27.11,0.91,73.858437,18.498368,Swargate ST Stand_13
2160,MODERATE,2022-02-01 14:01:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.26,25.09,14.13,413.07,16.3,0.95,72.03,31.75,1570.9,81.72,0.0,26.86,0.91,73.858437,18.498368,Swargate ST Stand_13
2199,MODERATE,2022-02-01 14:16:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.28,17.34,12.58,414.49,14.51,1.1,80.04,32.2,1752.51,81.93,0.0,26.65,0.91,73.858437,18.498368,Swargate ST Stand_13
2242,MODERATE,2022-02-01 14:31:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.32,31.64,7.29,408.96,8.87,0.81,65.32,32.51,1934.97,81.28,0.0,26.11,0.91,73.858437,18.498368,Swargate ST Stand_13
2278,MODERATE,2022-02-01 14:46:37+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.32,41.91,5.8,399.1,7.35,0.54,54.83,32.88,1972.76,80.69,0.0,25.91,0.91,73.858437,18.498368,Swargate ST Stand_13
2314,MODERATE,2022-02-01 15:01:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.25,35.23,7.77,399.85,9.76,0.62,62.16,33.55,1891.92,80.65,0.0,25.36,0.91,73.858437,18.498368,Swargate ST Stand_13
2350,MODERATE,2022-02-01 15:16:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,106.0,0.22,38.37,8.59,398.52,9.47,0.58,59.05,34.06,1809.99,81.22,0.0,24.18,0.91,73.858437,18.498368,Swargate ST Stand_13
2386,MODERATE,2022-02-01 15:31:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.24,41.53,8.28,397.13,10.08,0.59,55.31,34.17,1782.77,81.36,0.0,23.24,0.91,73.858437,18.498368,Swargate ST Stand_13
2422,MODERATE,2022-02-01 15:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.22,29.55,6.25,403.57,8.58,0.8,67.0,34.19,1736.85,81.18,0.0,22.41,0.91,73.858437,18.498368,Swargate ST Stand_13
2461,MODERATE,2022-02-01 16:01:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.16,31.8,6.29,400.61,7.99,0.68,64.64,34.59,1705.58,81.48,0.0,22.08,0.91,73.858437,18.498368,Swargate ST Stand_13
2505,MODERATE,2022-02-01 16:16:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.14,42.33,6.66,396.15,8.36,0.57,54.61,35.03,1662.61,81.19,0.0,22.36,0.91,73.858437,18.498368,Swargate ST Stand_13
2548,MODERATE,2022-02-01 16:31:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,107.0,0.12,40.66,5.2,397.83,6.95,0.59,56.6,34.9,1569.96,81.0,0.0,22.7,0.91,73.858437,18.498368,Swargate ST Stand_13
