index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
19,SATISFACTORY,2022-01-31 23:31:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.0,0.0,24.41,253.53,39.83,1.46,76.94,22.29,2.71,78.33,3.63,58.12,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
55,SATISFACTORY,2022-01-31 23:46:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,61.0,0.0,0.0,29.93,253.16,49.89,1.52,75.87,22.24,2.63,76.75,4.01,58.38,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
95,SATISFACTORY,2022-02-01 00:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,61.0,0.0,0.0,27.96,255.95,48.83,1.5,72.06,22.2,2.45,76.0,4.02,59.67,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
136,SATISFACTORY,2022-02-01 00:16:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,61.0,0.0,0.0,23.36,253.8,39.95,1.38,67.94,22.12,2.46,76.51,3.81,61.01,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
172,SATISFACTORY,2022-02-01 00:31:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,61.0,0.0,0.0,19.46,251.89,32.55,1.23,64.33,21.88,2.42,75.39,3.47,61.91,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
207,SATISFACTORY,2022-02-01 00:46:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,66.0,0.0,0.0,17.38,252.75,30.34,1.14,62.78,21.72,2.33,74.13,3.28,62.35,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
288,SATISFACTORY,2022-02-01 01:16:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,66.0,0.0,0.0,17.25,241.0,22.11,0.92,58.81,20.7,2.55,74.78,2.86,66.66,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
507,SATISFACTORY,2022-02-01 02:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,62.0,0.0,0.0,15.99,238.3,30.74,0.59,47.15,20.36,2.23,74.76,2.23,68.2,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
546,SATISFACTORY,2022-02-01 03:01:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,62.0,0.0,0.0,16.13,236.75,27.93,0.82,48.95,20.36,2.23,74.76,2.29,68.2,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
703,SATISFACTORY,2022-02-01 04:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,56.0,0.0,0.0,16.87,246.65,28.67,0.77,47.36,19.45,1.77,67.99,2.19,68.64,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
739,SATISFACTORY,2022-02-01 04:16:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,56.0,0.0,0.0,14.86,246.4,25.17,0.74,32.1,19.25,1.84,68.58,2.01,70.37,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
776,SATISFACTORY,2022-02-01 04:31:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,56.0,0.0,0.0,12.86,250.75,21.67,0.64,32.1,19.14,1.85,69.92,1.88,71.13,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
941,SATISFACTORY,2022-02-01 05:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,56.0,0.0,0.0,11.87,236.56,15.8,0.65,37.13,18.07,2.26,76.69,1.74,75.05,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
1007,SATISFACTORY,2022-02-01 06:16:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,56.0,0.0,0.0,12.6,246.38,18.55,0.77,35.47,17.88,2.05,76.83,1.93,75.51,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
1075,SATISFACTORY,2022-02-01 06:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,56.0,0.0,6.34,12.34,240.25,15.81,0.86,22.27,17.38,3.31,79.26,1.79,77.52,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
1109,SATISFACTORY,2022-02-01 07:01:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,56.0,0.0,5.81,15.82,209.66,26.71,1.04,6.7,17.29,3.81,80.37,1.57,77.97,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
1469,SATISFACTORY,2022-02-01 09:31:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.03,1.26,33.86,267.75,49.9,1.08,37.76,20.57,730.76,82.5,2.46,67.8,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
1601,SATISFACTORY,2022-02-01 10:31:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.07,35.03,17.77,263.28,38.33,0.6,20.78,23.99,1339.34,83.22,0.74,50.93,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
1641,SATISFACTORY,2022-02-01 10:46:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,53.0,0.07,37.48,17.77,261.06,38.33,0.64,0.0,24.47,1441.61,82.28,0.31,48.34,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
1857,SATISFACTORY,2022-02-01 12:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,53.0,0.12,43.34,16.68,275.75,21.62,0.17,7.51,28.8,2026.5,81.09,0.0,30.41,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
1996,SATISFACTORY,2022-02-01 13:01:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.12,0.0,8.46,266.21,10.5,0.54,11.26,29.93,2169.82,82.88,0.0,27.59,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
2036,SATISFACTORY,2022-02-01 13:16:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.13,66.75,9.73,251.75,23.4,0.15,0.92,30.34,2197.33,83.21,0.0,27.8,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
2078,SATISFACTORY,2022-02-01 13:31:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.13,65.03,9.02,251.75,17.41,0.25,0.92,31.44,3168.26,83.44,0.0,26.43,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
2716,SATISFACTORY,2022-02-01 17:31:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,52.0,0.01,0.0,13.8,277.14,27.45,1.89,71.53,32.03,635.13,82.11,3.0,26.58,0.93,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
2756,SATISFACTORY,2022-02-01 17:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,52.0,0.01,0.0,13.8,279.04,27.45,2.32,81.23,32.03,635.13,82.11,4.47,26.58,0.93,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
2965,SATISFACTORY,2022-02-01 19:01:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,51.0,0.0,0.0,12.47,256.33,22.82,2.17,69.56,28.49,4.13,82.98,5.53,37.03,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3095,SATISFACTORY,2022-02-01 19:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,50.0,0.0,0.0,14.6,274.5,26.34,1.75,65.13,26.86,3.86,82.86,6.51,40.31,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3649,SATISFACTORY,2022-02-01 23:16:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.0,0.0,21.12,285.62,28.56,1.55,60.33,22.7,2.61,74.43,4.09,58.61,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3691,SATISFACTORY,2022-02-01 23:31:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,65.0,0.0,0.0,24.0,284.25,41.18,1.7,64.77,22.7,2.61,74.43,4.07,58.61,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3731,SATISFACTORY,2022-02-01 23:46:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,65.0,0.0,0.0,26.89,285.75,53.8,1.58,70.08,22.05,3.12,78.2,3.92,60.11,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3777,SATISFACTORY,2022-02-02 00:01:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,65.0,0.0,0.0,16.18,284.62,32.47,1.47,65.96,21.9,3.05,76.57,3.9,60.84,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3817,SATISFACTORY,2022-02-02 00:16:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,65.0,0.0,0.0,15.92,277.5,26.94,1.66,60.98,21.73,2.72,75.8,3.88,62.04,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3857,SATISFACTORY,2022-02-02 00:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,65.0,0.0,0.0,17.27,276.25,26.89,1.62,58.81,21.71,2.47,76.67,4.09,62.52,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3903,SATISFACTORY,2022-02-02 00:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,97.0,0.0,0.0,20.55,295.25,33.24,1.57,58.81,21.38,2.89,73.94,3.82,65.14,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3942,SATISFACTORY,2022-02-02 01:01:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,97.0,0.0,0.0,19.2,285.37,31.19,1.46,39.48,21.3,2.9,75.06,3.32,64.57,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
3986,SATISFACTORY,2022-02-02 01:16:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,97.0,0.0,0.0,16.86,274.16,34.09,1.18,39.39,21.14,2.74,74.6,2.88,64.36,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4023,SATISFACTORY,2022-02-02 01:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,97.0,0.0,0.0,17.52,272.83,39.93,1.09,39.31,20.91,2.63,72.94,2.66,66.02,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4152,SATISFACTORY,2022-02-02 02:16:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,94.0,0.0,6.02,14.67,264.21,29.44,0.58,32.8,20.68,2.54,69.58,2.42,65.97,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4198,SATISFACTORY,2022-02-02 02:31:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,94.0,0.0,6.02,9.99,260.5,17.77,0.54,33.34,20.59,2.34,69.86,2.33,66.53,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4237,SATISFACTORY,2022-02-02 02:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,89.0,0.0,12.37,9.99,257.12,17.77,0.52,28.0,20.4,2.5,72.4,2.2,67.28,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4446,SATISFACTORY,2022-02-02 04:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,82.0,0.0,14.6,8.75,254.09,13.54,0.51,21.71,19.82,2.39,74.05,1.66,67.3,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4529,SATISFACTORY,2022-02-02 04:31:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,82.0,0.0,1.7,11.57,257.25,14.74,0.51,37.48,19.33,2.46,70.89,1.52,66.68,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4610,SATISFACTORY,2022-02-02 05:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,77.0,0.0,0.0,14.83,279.0,23.42,0.74,46.75,19.01,2.34,75.74,1.98,68.56,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4651,SATISFACTORY,2022-02-02 05:16:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,77.0,0.0,0.0,15.22,276.0,33.22,0.85,46.75,18.98,2.2,75.83,1.94,68.78,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4860,GOOD,2022-02-02 06:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,44.0,0.0,0.0,12.49,265.0,21.94,0.66,41.83,18.31,2.67,77.37,1.41,72.12,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
4898,GOOD,2022-02-02 06:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,44.0,0.0,0.0,15.62,272.62,28.45,0.7,55.65,18.31,2.67,77.37,1.75,72.12,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5205,GOOD,2022-02-02 08:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,43.0,0.01,4.65,22.01,272.4,29.99,0.9,40.1,19.05,464.11,80.99,2.5,70.3,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5287,GOOD,2022-02-02 09:16:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,43.0,0.02,7.83,21.85,266.68,33.06,0.93,44.44,20.62,705.32,81.72,2.58,65.85,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5322,GOOD,2022-02-02 09:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,43.0,0.04,8.12,24.26,267.06,38.68,0.94,45.24,20.62,705.32,81.72,2.56,65.85,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5367,GOOD,2022-02-02 09:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,43.0,0.04,11.09,27.37,275.12,50.9,0.94,41.09,22.2,1047.1,83.05,2.42,60.01,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5407,GOOD,2022-02-02 10:01:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,43.0,0.05,24.31,27.37,277.75,50.9,0.9,36.35,22.57,1086.31,82.88,2.32,58.51,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5442,GOOD,2022-02-02 10:16:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,43.0,0.06,33.41,18.15,276.38,25.01,0.96,36.17,23.49,1196.53,83.18,2.49,55.53,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5483,GOOD,2022-02-02 10:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,43.0,0.07,31.97,18.15,275.81,25.01,1.05,32.77,24.04,1267.54,83.65,2.14,54.03,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5527,GOOD,2022-02-02 10:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,43.0,0.08,52.98,31.83,277.93,45.59,1.38,25.34,25.92,1602.64,85.55,1.64,47.97,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5733,GOOD,2022-02-02 12:01:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,46.0,0.11,70.41,18.05,265.44,29.62,0.55,6.84,28.77,1939.2,83.25,0.0,36.57,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5773,GOOD,2022-02-02 12:16:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,46.0,0.11,70.41,12.61,256.87,21.98,0.4,0.71,29.13,1999.57,81.83,0.0,36.01,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
5857,GOOD,2022-02-02 12:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,48.0,0.12,81.12,15.32,257.0,29.13,0.29,0.0,30.2,2141.53,81.41,0.0,33.84,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
6020,SATISFACTORY,2022-02-02 13:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,52.0,0.13,68.36,10.54,259.25,29.91,0.39,4.45,32.18,3037.52,82.98,0.03,31.99,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
6063,SATISFACTORY,2022-02-02 14:01:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,52.0,0.23,100.17,12.55,252.0,34.49,0.42,0.0,32.2,3333.12,84.18,0.17,31.81,0.94,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
6230,SATISFACTORY,2022-02-02 15:01:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,52.0,0.17,62.57,12.82,266.83,21.31,1.08,20.8,32.93,3547.67,85.74,0.76,30.5,0.93,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
6338,SATISFACTORY,2022-02-02 15:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.07,102.06,16.42,252.44,37.4,1.26,23.8,33.95,5606.69,82.39,0.66,29.39,0.93,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
6375,SATISFACTORY,2022-02-02 16:01:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.07,70.97,8.45,252.44,14.76,0.89,5.85,33.85,7636.21,83.1,0.73,29.45,0.93,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
6412,SATISFACTORY,2022-02-02 16:16:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,54.0,0.07,37.28,8.76,247.25,15.21,0.6,18.11,33.54,3131.81,84.14,1.03,29.73,0.93,73.884363,18.541278,Dr Baba Saheb Ambedkar Sethu Junction_60
